Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
HR,2024,264637,264637,187225,58865,6642,9431,6572,13407,17830,28099,1.0926427043234952,-
Operations,2024,489876,489876,173512,64457,36477,602,2894,5785,14978,94991,1.1222742666412402,High overtime costs
IT,2024,418697,418697,87501,46817,29150,1937,3417,11979,16321,89020,0.7265769929903186,Increased maintenance
HR,2024,362425,288292,52556,78993,13769,6812,16632,6635,7372,50711,0.6890829146262331,-
HR,2024,425595,384446,87963,62380,34833,1067,7810,19279,11802,49101,0.5335027456108495,Increased maintenance
Operations,2022,297113,231026,26563,60400,8909,13401,12674,28722,10225,16784,0.7796302466157246,Increased maintenance
IT,2024,312911,298342,25840,46258,37078,5252,10149,19272,14652,36978,0.5867695142330456,Increased maintenance
IT,2024,447111,269437,35154,91006,17268,13472,18274,15491,11228,29022,1.0503801206181578,High overtime costs
HR,2022,108026,108026,44194,58957,15844,379,7880,16944,10121,85251,0.600076600307993,Additional training expenses
Marketing,2022,430286,430286,197933,28281,13638,19566,12650,8109,18748,92977,1.0732337448853597,-
HR,2022,92968,92968,173520,87264,42141,5196,2115,17515,19786,37739,0.5753294930322976,Increased maintenance
HR,2022,221169,221169,43528,61331,16233,13881,6581,27437,13050,83169,0.8364308354827925,Additional training expenses
HR,2022,458548,337858,180474,55680,35496,12119,19447,10004,12732,4226,0.7692439806162152,High overtime costs
HR,2022,195693,107803,24352,48723,22806,8737,5651,27140,14656,22791,0.9210806492323185,-
Operations,2024,126870,126870,20184,20162,45326,5259,1806,12445,18533,87563,0.863140299651607,Additional training expenses
IT,2024,68174,68174,161456,61095,18271,11633,7300,5284,16233,88897,0.9190385683085682,High overtime costs
Operations,2023,436501,106627,34319,21338,44513,10461,19078,16773,10144,43478,0.5006745796428448,-
Operations,2024,411333,227059,140497,97832,24465,2922,10183,15202,14250,57504,0.5892525321238234,-
Operations,2024,90502,90502,171521,21675,44502,3387,16223,7413,11812,41073,0.8619841293259987,High overtime costs
HR,2022,348818,95380,76333,99606,18860,14553,14368,23027,14163,6161,0.6607662725806488,Increased maintenance
Marketing,2022,87260,87260,61205,30080,13250,10062,5493,12235,15582,97465,0.5534220082724851,-
IT,2024,485714,249416,30426,23936,46418,6959,4650,14319,18275,38229,0.6523907592814565,-
Marketing,2023,248681,248681,27504,20019,26310,9947,12067,11335,18677,75213,1.0459016907268075,Increased maintenance
Operations,2022,230536,230536,136775,77282,32982,9559,16225,22027,12824,1628,0.8791858651244808,Additional training expenses
Operations,2024,121805,121805,53368,59681,37206,551,12592,28695,10455,73516,0.6330538189096262,-
Marketing,2024,245991,196367,123841,98304,14764,133,792,13217,16191,31374,0.5111848604182694,Additional training expenses
Marketing,2023,309636,309636,136744,83861,48661,6607,1089,15237,7504,46892,0.7503169155477729,Increased maintenance
Marketing,2023,235541,235541,28724,14486,17842,11103,19164,20966,14090,77411,0.7502287142616926,-
Operations,2022,67194,67194,156156,92021,42491,10205,789,8937,15005,22980,1.014587646050737,Increased maintenance
Operations,2023,207883,207883,185882,89864,49372,6599,4194,9807,6502,84418,1.1436053269982895,-
IT,2024,384521,309125,102297,29112,29043,13372,12558,19950,19733,34763,0.7604098412778343,-
IT,2024,180864,63769,145099,61697,42971,5124,13475,11336,12042,10301,0.9816928766952653,-
Operations,2023,93723,93723,98872,65998,7976,1060,6671,11524,19117,66131,0.9444338763084899,Increased maintenance
Marketing,2023,281408,225717,171944,36576,12426,14048,5961,22409,13534,82859,0.7954561991041816,-
Marketing,2023,292113,271815,90333,60100,27887,18570,12048,10722,8860,50451,0.546123056344342,Additional training expenses
IT,2023,126298,126298,22596,91238,31710,19049,5155,22452,12858,21798,0.8314251507730577,High overtime costs
Operations,2022,109238,109238,37167,31320,46387,3170,313,14130,16543,58496,0.7478969889388883,High overtime costs
IT,2023,309425,284799,107844,93973,11486,10919,232,9098,12519,61803,0.8851360700954818,High overtime costs
IT,2022,155433,155433,109751,75729,44258,19030,9221,20265,7860,92206,0.5877779549272004,Additional training expenses
HR,2024,157092,157092,149817,94879,27623,16979,11798,29399,6248,9589,1.0069678620757965,-
HR,2023,314291,218157,100520,39144,28806,15583,2711,14664,12083,80633,1.051425303701074,Increased maintenance
HR,2022,279991,279991,78326,67326,10973,4106,12531,18602,19382,48222,0.771923149080158,Increased maintenance
Marketing,2023,350589,350589,97670,87148,34157,3421,10480,15517,14400,6381,0.6226931026285023,-
Operations,2024,234875,234875,161854,29307,10521,16303,7940,21559,10010,90907,0.9365046078768589,Additional training expenses
Operations,2024,242180,194542,193074,70598,17891,2278,12191,13095,11305,56615,1.1690683773017232,High overtime costs
Operations,2024,156170,156170,44022,29623,21795,17548,19728,19617,10762,30588,0.9903522186007934,Additional training expenses
Operations,2023,445229,168643,104458,30249,27474,17001,2122,22527,9390,68453,0.5864375637787305,Additional training expenses
HR,2023,397761,397761,165690,83765,31507,13052,3779,27277,7139,27115,0.7780540687174469,Increased maintenance
Marketing,2022,263482,260154,168317,82131,15687,450,5654,28725,14802,4353,1.1407581931028654,-
Marketing,2024,365646,187877,103796,48377,38014,9990,12374,24894,15171,76162,0.944095832359263,Increased maintenance
HR,2023,167116,167116,161099,62365,16009,12778,11169,25446,12335,69901,0.6030065373177056,High overtime costs
Marketing,2024,349899,349899,165058,44551,28226,7372,1172,12797,18569,26576,1.0072145399029004,High overtime costs
HR,2024,189805,189805,130704,52926,27948,1892,7317,5950,15989,85038,0.7474631523000256,Increased maintenance
Operations,2022,321623,231844,154598,97750,39939,18838,159,9436,13748,23133,0.8426740745093073,-
HR,2022,125361,125361,64361,48599,49291,13362,2129,7744,11118,43701,0.7905325925380112,-
Operations,2022,202376,151422,58286,32593,45225,3808,19462,21114,8994,74681,1.0079876226283737,Additional training expenses
Operations,2022,478910,401444,49533,70334,27102,9476,18613,29696,17596,91837,0.652534292803572,Additional training expenses
IT,2024,174232,174232,169388,69893,39828,18141,2917,26054,18960,42546,0.7718588458292764,Increased maintenance
